id,slug,builder,in_nav,modified,disposition,reason,title
2952,single-family-rental-summit,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,SINGLE-FAMILY RENTAL SUMMIT
3140,event-photos,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,Event Photos
3193,five-star-event-speaker-and-sponsor-assets,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,Five Star Event Speaker and Sponsor Assets
3283,privacy,WPB,-,2023-07-06,MIGRATE,legal - keep,Privacy
3122,diversity-inclusion-symposium-assets,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,Diversity &amp; Inclusion Symposium Assets
3801,gf-event-assets,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,GF Event Assets
3213,government-forum-assets,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,Government Forum Assets
3272,legal-league-100-servicer-summit-assets,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,Legal League 100 Servicer Summit Assets
3471,contact-update,WPB,-,2023-07-06,TRASH,plan trash set,contact update
3286,rockin-in-the-rockies,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,Rockin in the Rockies
3280,motown-throwdown,WPB,-,2023-07-06,TRASH,WPBakery, no nav, no traffic, old,Motown Throwdown
2937,confirmation,WPB,-,2023-07-06,MIGRATE,owner: keep,Confirmation
5135,real-estate-professionals,ELE,nav,2026-07-09,LEAVE,already Elementor - re-author in R4,Real Estate Professionals
5115,real-estate-professionals-1,ELE,-,2026-07-02,TRASH,owner: retire (dup/unused),Real Estate Professionals
5402,fsc2026-assets,ELE,-,2026-06-26,LEAVE,already Elementor - re-author in R4,FSC2026 Assets
5128,alliance,ELE,-,2026-05-18,LEAVE,already Elementor - re-author in R4,Five Star Alliance
5127,offers,ELE,-,2026-05-16,LEAVE,already Elementor - re-author in R4,FSI Offers
5089,events,ELE,nav,2026-05-01,LEAVE,already Elementor - re-author in R4,Events
5114,communities,ELE,nav,2026-04-30,LEAVE,already Elementor - re-author in R4,Communities
5113,memberships,ELE,nav,2026-04-30,LEAVE,already Elementor - re-author in R4,Memberships
5110,velocity,ELE,nav,2026-04-30,LEAVE,already Elementor - re-author in R4,Velocity
5088,velocity-old,plain,-,2026-04-30,TRASH,superseded/old duplicate,Velocity (Old WPBakery)
5086,who-we-are,plain,-,2026-04-18,MIGRATE,owner: keep,Who We Are
5087,real-estate-professionals,plain,-,2026-04-18,TRASH,superseded/old duplicate,Real Estate Professionals
5051,member-benefits,ELE,-,2026-04-15,LEAVE,already Elementor - re-author in R4,Member Benefits
4909,home-2,ELE,-,2026-02-13,TRASH,plan trash set,Home
4993,five-star-access,ELE,-,2026-01-07,LEAVE,already Elementor - re-author in R4,Five Star Access
4970,reif,ELE,-,2025-09-16,LEAVE,already Elementor - re-author in R4,Real Estate Investment Forum Deal Room
4912,fsc2025-assets,ELE,-,2025-08-12,TRASH,plan trash set,FSC2025 Assets
4560,education,ELE,-,2025-01-02,LEAVE,already Elementor - re-author in R4,Education
4860,velocity-stay-informed-sign-up-for-exclusive-updates-and-offers,ELE,-,2024-11-19,LEAVE,already Elementor - re-author in R4,Velocity- Stay Informed: Sign Up for Exclusive Updates and Offers
4550,certifications,ELE,-,2024-08-27,LEAVE,already Elementor - re-author in R4,Certifications
4556,courses,ELE,-,2024-08-27,LEAVE,already Elementor - re-author in R4,Courses
4829,fscme-2024,ELE,-,2024-08-12,TRASH,plan trash set,FSC&Me 2024
4757,fsc2024-asset,ELE,-,2024-07-23,TRASH,plan trash set,FSC2024 Asset
4558,seminars,ELE,-,2024-06-25,LEAVE,already Elementor - re-author in R4,Seminars
4436,velocity,ELE,-,2024-03-05,TRASH,owner: retire (dup/unused),Velocity
3290,sfr-certification,plain,-,2023-07-06,TRASH,plain, no nav/traffic,SFR Certification
